color_id,name,rgb,is_transparent
0,Black,05131D,False
1,Blue,0055BF,False
2,Green,237841,False
3,Dark Turquoise,008F9B,False
4,Red,C91A09,False
5,Dark Pink,C870A0,False
6,Brown,583927,False
7,Light Gray,9BA19D,False
8,Dark Gray,6D6E5C,False
9,Light Blue,9FC3E9,False
10,Bright Green,4B9F4A,False
11,Medium Green,73DCA1,False
12,Light Orange,F9BA61,False
13,White,FFFFFF,False
14,Yellow,F2CD37,False
15,Orange,FE8A18,False
16,Magenta,923978,False
17,Tan,E4CD9E,False
18,Violet,4354A3,False
19,Lime,BBE90B,False
20,Dark Red,720E0F,False
21,Medium Blue,5A93DB,False
22,Pink,FC97AC,False
23,Sand Blue,6074A1,False
24,Sand Green,A0BCAC,False
25,Dark Brown,352100,False
26,Sand Yellow,F3CF9B,False
27,Earth Orange,FA9C1C,False
28,Chrome Silver,E0E0E0,True
29,Chrome Gold,BBA53D,True
30,Aqua,B3D7D1,False
31,Pearl Gold,AA7F2E,False
32,Pearl Light Gray,A0A5A9,False
33,Pearl Dark Gray,575857,False
34,Metallic Silver,A5A9B4,False
35,Metallic Gold,DBAC34,False
36,Metallic Green,899B5F,False
37,Metallic Blue,4D72A3,False
38,Trans-Black,635F52,True
39,Trans-Red,C91A09,True
40,Trans-Blue,0020A0,True
41,Trans-Green,237841,True
42,Trans-Yellow,F2CD37,True
43,Trans-Orange,F47B30,True
44,Trans-Clear,FCFCFC,True
45,Trans-Purple,A5A5CB,True
46,Trans-Pink,F785B7,True
47,Trans-Neon Orange,FF800D,True
48,Trans-Neon Green,C0F500,True
49,Trans-Neon Yellow,DAB000,True
50,Glow In Dark White,D4D5C9,False
51,Glow In Dark Opaque,D4D5C9,False
52,Milky White,FFFFFF,True
53,Glitter Trans-Dark Pink,DF6695,True
54,Glitter Trans-Clear,FFFFFF,True
55,Glitter Trans-Purple,A5A5CB,True
56,Speckle Black-Silver,635F52,False
57,Speckle Black-Gold,635F52,False
58,Speckle Black-Copper,635F52,False
59,Speckle Dbgray-Silver,575857,False
60,Dark Orange,A95500,False
61,Bright Light Orange,F8BB3D,False
62,Bright Light Blue,9FC3E9,False
63,Bright Light Yellow,FFF03A,False
64,Sky Blue,7DBFDD,False
65,Dark Blue,0A3463,False
66,Dark Green,184632,False
67,Spring Yellowish Green,E2F99A,False
68,Olive Green,9B9A5A,False
69,Medium Dark Flesh,CC702A,False
70,Medium Nougat,AA7D55,False
71,Light Nougat,F6D7B3,False
72,Nougat,D09168,False
73,Dark Flesh,7C503A,False
74,Flesh,F6D7B3,False
75,Reddish Brown,582A12,False
76,Rust,B31004,False
77,Medium Red,E3000B,False
78,Coral,FF698F,False
79,Light Salmon,FEBABD,False
80,Salmon,F2705E,False
81,Dark Salmon,AA4D3B,False
82,Earth Yellow,FCB76D,False
83,Dark Yellow,D67923,False
84,Warm Gold,AA7F2E,False
85,Cool Yellow,FFFF99,False
86,Lavender,E1D5ED,False
87,Medium Lavender,AC78BA,False
88,Dark Purple,3F3691,False
